"Category","name","value","cat"
"Women HRDs","Central Asia and Southern Asia",12,3
"Women HRDs","Eastern Asia and South-eastern Asia",19,3
"Women HRDs","Latin America and the Caribbean",16,3
"Women HRDs","Northern America and Europe",19,3
"Women HRDs","Sub-Saharan Africa",7,3
"Women HRDs","Western Asia and Northern Africa",11,3
"Environment & land HRDs","Central Asia and Southern Asia",12,1
"Environment & land HRDs","Eastern Asia and South-eastern Asia",25,1
"Environment & land HRDs","Latin America and the Caribbean",52,1
"Environment & land HRDs","Northern America and Europe",6,1
"Environment & land HRDs","Sub-Saharan Africa",19,1
"Environment & land HRDs","Western Asia and Northern Africa",1,1
"Indigenous & minority HRDs","Central Asia and Southern Asia",18,2
"Indigenous & minority HRDs","Eastern Asia and South-eastern Asia",14,2
"Indigenous & minority HRDs","Latin America and the Caribbean",45,2
"Indigenous & minority HRDs","Northern America and Europe",13,2
"Indigenous & minority HRDs","Sub-Saharan Africa",18,2
"Indigenous & minority HRDs","Western Asia and Northern Africa",13,2
"Youth HRDs","Central Asia and Southern Asia",8,4
"Youth HRDs","Eastern Asia and South-eastern Asia",6,4
"Youth HRDs","Latin America and the Caribbean",10,4
"Youth HRDs","Northern America and Europe",31,4
"Youth HRDs","Sub-Saharan Africa",10,4
"Youth HRDs","Western Asia and Northern Africa",13,4
